X,Y,Z,Temperature
-0.13681,-0.09,175,300
0.14976,0.0426722,175,326.497
0.150916,0.0452141,175,323.787
0.144,0.05,175,339.966
0.144,0.045,175,339.977
0.144,0.04,175,339.988
0.103789,0.03,175,340.045
0.109282,0.03,175,340.044
0.10744,0.0350458,175,336.358
0.38,0.162701,175,300
0.38,0.166984,175,300
0.378597,0.167427,175,300
0.38,0.167976,175,300
0.38,0.172977,175,300
-0.19,0.182661,175,300
-0.189125,0.183466,175,300
-0.19,0.184068,175,300
0.0832361,0.0379105,175,335.851
0.0803784,0.03,175,340.044
0.0873266,0.03,175,340.046
0.141,0.03,175,340.022
0.0527828,0.0387855,175,339.141
0.049,0.045,175,339.98
0.049,0.04,175,339.99
0.0572126,0.0342077,175,339.238
0.049,0.03,175,340.018
0.0591772,0.03,175,340.035
0.0559222,0.0376734,175,338.294
0.38,-0.0728119,175,300
0.374016,-0.0815139,175,300
0.38,-0.0794236,175,300
0.38,-0.09,175,300
0.373456,-0.0822036,175,300
0.370473,-0.09,175,300
0.378416,-0.0633752,175,300
0.38,-0.0626612,175,300
0.38,-0.05422,175,300
0.378717,-0.0552856,175,300
0.38,-0.064068,175,300
0.378931,-0.0705934,175,300
0.38,-0.0714359,175,300
-0.19,-0.0794087,175,300
-0.187616,-0.0771871,175,300
-0.19,-0.0744538,175,300
-0.19,0.192812,175,300
-0.183751,0.200939,175,300
-0.19,0.199424,175,300
-0.19,0.21,175,300
-0.182706,0.20198,175,300
-0.180623,0.21,175,300
-0.168672,-0.09,175,300
-0.168847,-0.0898038,175,300
-0.169049,-0.09,175,300
0.141,0.04,175,339.992
0.137147,0.0379884,175,338.986
0.133859,0.034532,175,338.906
0.131445,0.03,175,340.04
0.134794,0.036744,175,338.325
0.19,0.03,175,339.99
0.180247,0.0323393,175,331.356
0.177852,0.03,175,340.003
0.154916,0.0317529,175,336.802
0.144,0.03,175,340.013
0.156148,0.03,175,340.02
0.373082,0.202504,175,300
0.38,0.21,175,300
0.371999,0.203787,175,300
0.372622,0.21,175,300
0.37137,0.203013,175,300
0.38,0.199409,175,300
0.371948,0.203068,175,300
0.046,0.03,175,340.007
0.0368,0.0349053,175,330.997
0.0345,0.03,175,340.014
0.038211,0.0380862,175,324.612
0.046,0.04,175,339.985
0.0398667,0.0385403,175,327.986
0.147231,0.0385029,175,334.677
0.151427,0.0364238,175,327.886
0.152309,0.0421809,175,321.79
-0.0838379,0.21,175,300
-0.0851839,0.21,175,300
-0.0849709,0.209302,175,300
-0.0860361,0.21,175,300
0.38,0.0149976,175,300
0.379809,0.0148662,175,300
0.375617,0.00594767,175,300
