X,Y,Z_Plane,Temperature_3D,Temperature_2D,Temp_Difference
0.07,0.005,20,334.328,342.171,-7.843
0.07,-4.04E-34,20,335.546,342.232,-6.686
0.07,0.01,20,333.174,342.113,-8.939
0.07,0.015,20,332.082,342.056,-9.974
0.07,0.02,20,331.052,342.002,-10.95
0.07,0.025,20,330.081,341.949,-11.868
0.07,0.03,20,329.168,341.899,-12.731
0.07,0.035,20,328.311,341.851,-13.54
0.07,0.04,20,327.509,341.804,-14.295
0.07,0.045,20,326.76,341.76,-15
0.07,0.05,20,326.064,341.718,-15.654
0.07,0.055,20,325.417,341.678,-16.261
0.07,0.06,20,324.82,341.64,-16.82
0.07,0.065,20,324.27,341.604,-17.334
0.07,0.07,20,323.768,341.571,-17.803
0.07,0.075,20,323.311,341.539,-18.228
0.07,0.08,20,322.9,341.509,-18.609
0.07,0.085,20,322.533,341.482,-18.949
0.07,0.09,20,322.21,341.456,-19.246
0.07,0.095,20,321.929,341.432,-19.503
0.07,0.1,20,321.691,341.411,-19.72
0.065,0.005,20,334.432,342.178,-7.746
0.065,-3.76E-34,20,335.65,342.239,-6.589
0.065,0.01,20,333.277,342.12,-8.843
